precinct,lon,lat
Precinct 1,-73.99911824717667,40.7265423125872
Precinct 1,-73.99836119306708,40.72616746776045
Precinct 1,-73.99761019591818,40.72579713809984
Precinct 1,-73.99677175777505,40.72543194350264
Precinct 1,-73.99684295933554,40.725347837869776
Precinct 1,-73.99778508864233,40.724234894250735
Precinct 1,-73.99881172246083,40.72302140919117
Precinct 1,-73.99952163175969,40.72218334688825
Precinct 1,-73.99985330434208,40.72179178766753
Precinct 1,-74.00066072523035,40.720839794377795
Precinct 1,-74.0014245100964,40.719937198165916
Precinct 1,-74.00188406309478,40.71939757028781
Precinct 1,-74.00209161668549,40.71915339284899
Precinct 1,-74.00253798721954,40.71862688357911
Precinct 1,-74.00304533455166,40.71802581664014
Precinct 1,-74.00353244739755,40.717449430609264
Precinct 1,-74.00402602619415,40.716871017684575
Precinct 1,-74.00419822714433,40.71667044970024
Precinct 1,-74.00453350110088,40.71627991256102
Precinct 1,-74.00497612896957,40.715759939895534
Precinct 1,-74.00541948410378,40.71523605705498
Precinct 1,-74.00588849736322,40.71467728518714
Precinct 1,-74.00630969599493,40.71416582661869
Precinct 1,-74.00481860655783,40.713475000498775
Precinct 1,-74.00405900803744,40.71313479025531
Precinct 1,-74.00421405367503,40.712980742642195
Precinct 1,-74.00429113891556,40.712907825695886
Precinct 1,-74.00460261285207,40.71265752000517
Precinct 1,-74.00485768087732,40.71245254111691
Precinct 1,-74.0049871665652,40.71237485717677
Precinct 1,-74.00512712618752,40.71230677325996
Precinct 1,-74.00527561958643,40.712249439992746
Precinct 1,-74.00543047939837,40.71220369524702
Precinct 1,-74.0054581989065,40.71219782496352
Precinct 1,-74.00558932954131,40.71217005375554
Precinct 1,-74.00574044668751,40.71208875703634
Precinct 1,-74.00589175101486,40.71200715956491
Precinct 1,-74.00573499331394,40.71197868839692
Precinct 1,-74.00566290071504,40.71198231557449
Precinct 1,-74.00529195450655,40.71200097897737
Precinct 1,-74.00520688890471,40.711990176696055
Precinct 1,-74.00512487522043,40.711965488072096
Precinct 1,-74.0050516064839,40.71192812073176
Precinct 1,-74.0049916384807,40.71188096282683
Precinct 1,-74.00443160395999,40.71151306415221
Precinct 1,-74.00425246221761,40.71138934083344
Precinct 1,-74.00391102115795,40.71117478838408
Precinct 1,-74.0038527832684,40.71114209309843
Precinct 1,-74.00361454307568,40.71100834793827
Precinct 1,-74.00355036463868,40.71097316641705
Precinct 1,-74.00343203072377,40.71087981407516
Precinct 1,-74.00338054973804,40.710826163734744
Precinct 1,-74.0031563339572,40.71067297502858
Precinct 1,-74.00308193099914,40.71062428716192
Precinct 1,-74.00210952706912,40.709893912898835
Precinct 1,-74.00166466865358,40.70952276305005
Precinct 1,-74.0008601109041,40.70879094707493
Precinct 1,-74.0004835408566,40.708350862733916
Precinct 1,-74.00013109195302,40.707913267233124
Precinct 1,-74.00007514781151,40.70784723531564
Precinct 1,-74.00003379419385,40.707806799995986
Precinct 1,-73.9999588166742,40.70768818345429
Precinct 1,-73.99989574568755,40.707617737944084
Precinct 1,-73.9999485594979,40.707591496370966
Precinct 1,-73.99994505655111,40.7075826274859
Precinct 1,-73.9999485595232,40.70755869105115
Precinct 1,-73.99995671262306,40.70753119885585
Precinct 1,-73.99997222648798,40.70750639882204
Precinct 1,-73.99999645016025,40.707491647898486
Precinct 1,-74.00013868859142,40.7074050544075
Precinct 1,-74.00023380525761,40.70734714248683
Precinct 1,-74.0004002783203,40.70726027957068
Precinct 1,-74.00055247932056,40.70718427542038
Precinct 1,-74.00077175219104,40.707080148703334
Precinct 1,-74.00084973367689,40.707043119139115
Precinct 1,-74.00088259097623,40.707025253300515
Precinct 1,-74.0011868526283,40.70685982526918
Precinct 1,-74.001131305772,40.706799050181935
Precinct 1,-74.00122367538822,40.70674526164774
Precinct 1,-74.00123213691967,40.70674033693098
Precinct 1,-74.00122701299958,40.70673486990648
Precinct 1,-74.00116039022576,40.70666372083431
Precinct 1,-74.00117521610984,40.70664874526913
Precinct 1,-74.00116913341543,40.70663949766775
Precinct 1,-74.00117643567688,40.70663505879536
Precinct 1,-74.0011760207968,40.70662757435898
Precinct 1,-74.00098276691733,40.70641671349552
Precinct 1,-74.00140533024054,40.70618013470528
Precinct 1,-74.00140666691954,40.706179388020644
Precinct 1,-74.00140581495842,40.706178612883114
Precinct 1,-74.0005829704798,40.7054339336489
Precinct 1,-74.0005924020935,40.7054100794135
Precinct 1,-74.00084523503796,40.70525451884621
Precinct 1,-74.00143719471637,40.70487222494061
Precinct 1,-74.00145437418846,40.70487330292948
Precinct 1,-74.00146085765638,40.7048737173095
Precinct 1,-74.00183509983015,40.70521225882238
Precinct 1,-74.00205517727979,40.70541134986922
Precinct 1,-74.00206142563809,40.70541700564076
Precinct 1,-74.00206282084557,40.705416076845374
Precinct 1,-74.00212278686422,40.705379002672466
Precinct 1,-74.0021581834855,40.705357119118524
Precinct 1,-74.00256965059467,40.70552357952351
Precinct 1,-74.00268512768794,40.70544924811866
Precinct 1,-74.00236285311746,40.705158966692586
Precinct 1,-74.00241573476919,40.705129311282505
Precinct 1,-74.00238385458344,40.7051012702508
Precinct 1,-74.00197070397948,40.7047378684872
Precinct 1,-74.00197014837805,40.70473115920231
Precinct 1,-74.00203201379027,40.70469295373008
Precinct 1,-74.002171849419,40.70460659646368
Precinct 1,-74.00218562331565,40.70460701887393
Precinct 1,-74.00233344621164,40.70474813530699
Precinct 1,-74.00233393075767,40.70474260740416
Precinct 1,-74.00242059318666,40.704680334101184
Precinct 1,-74.00243071075865,40.704677858004345
Precinct 1,-74.00248839829258,40.7047267723512
Precinct 1,-74.00248790148639,40.70473376109163
Precinct 1,-74.00239832748956,40.70479492564343
Precinct 1,-74.00238670740679,40.70479566367449
Precinct 1,-74.00332307270787,40.70562859522006
Precinct 1,-74.00358262337757,40.705461128831146
Precinct 1,-74.00363187169326,40.705429806751745
Precinct 1,-74.00364446183868,40.7054216846388
Precinct 1,-74.00383327532258,40.705303243026385
Precinct 1,-74.00366217837693,40.70514975923657
Precinct 1,-74.00358390952111,40.70519264864541
Precinct 1,-74.00355259950756,40.705166440834184
Precinct 1,-74.00363086901315,40.70512355144647
Precinct 1,-74.00262896407828,40.70422295278143
Precinct 1,-74.002866897815,40.704075225511566
Precinct 1,-74.00405666439265,40.70514736343892
Precinct 1,-74.00426687037428,40.70501166020204
Precinct 1,-74.00458622952465,40.70479945067928
Precinct 1,-74.00484062824783,40.70463977952648
Precinct 1,-74.00492037826479,40.704591004973324
Precinct 1,-74.0051880506732,40.704420535188014
Precinct 1,-74.00521160900404,40.704405532235334
Precinct 1,-74.00526035829184,40.704374488410124
Precinct 1,-74.00535027224755,40.70431007996153
Precinct 1,-74.00566330640653,40.704104243975614
Precinct 1,-74.00589129888934,40.703959853944546
Precinct 1,-74.00602048621096,40.70387490010186
Precinct 1,-74.00614106753558,40.703980973937995
Precinct 1,-74.00634215560272,40.70384982210485
Precinct 1,-74.00643259271952,40.70379118995163
Precinct 1,-74.00659591913875,40.703685902451845
Precinct 1,-74.006320807539,40.70346676102887
Precinct 1,-74.00631484519418,40.70346132409439
Precinct 1,-74.00630030777441,40.703448234988265
Precinct 1,-74.0059114573594,40.703098111430414
Precinct 1,-74.00589941745793,40.70308727019193
Precinct 1,-74.0058874726644,40.70307651572638
Precinct 1,-74.00555843304458,40.702781256387276
Precinct 1,-74.0054838408244,40.70271432213405
Precinct 1,-74.00552682615239,40.70268528761711
Precinct 1,-74.00550531272071,40.70266684658556
Precinct 1,-74.00547130861273,40.70268982858091
Precinct 1,-74.00543599763355,40.70265955541134
Precinct 1,-74.00542728826248,40.70266543619403
Precinct 1,-74.00530412596079,40.70255986563302
Precinct 1,-74.00549427805105,40.70243138195556
Precinct 1,-74.00550166067454,40.70243086729444
Precinct 1,-74.00561361797627,40.70253024203234
Precinct 1,-74.00560163196413,40.7025380597699
Precinct 1,-74.00560905264517,40.7025528185537
Precinct 1,-74.00559479485831,40.70256801982689
Precinct 1,-74.00559935100478,40.70258016783928
Precinct 1,-74.00559022977765,40.70258581428387
Precinct 1,-74.00559194611431,40.702598835921144
Precinct 1,-74.00558509547804,40.702604050202375
Precinct 1,-74.00558909594902,40.70261273059684
Precinct 1,-74.00553546138171,40.70264552060426
Precinct 1,-74.00555771998816,40.702664394652025
Precinct 1,-74.00567522249858,40.70258407270014
Precinct 1,-74.00598430339494,40.70286001804111
Precinct 1,-74.00608976093835,40.70295112049115
Precinct 1,-74.00623870508532,40.70307978930158
Precinct 1,-74.00636372730409,40.703187792252514
Precinct 1,-74.00646028831747,40.70327120753148
Precinct 1,-74.00649425191108,40.70330054817178
Precinct 1,-74.00654880812654,40.703367615085874
Precinct 1,-74.00655720878513,40.70336314883586
Precinct 1,-74.00675541584032,40.703541489476805
Precinct 1,-74.00678502191052,40.70356812790527
Precinct 1,-74.00699466002457,40.7034411885666
Precinct 1,-74.00722046663674,40.70330197730325
Precinct 1,-74.007519052838,40.703121820237115
Precinct 1,-74.0075271497927,40.70311498141614
Precinct 1,-74.00760498179525,40.70299314165838
Precinct 1,-74.00764555161307,40.702928174778926
Precinct 1,-74.00769798694184,40.70284927904936
Precinct 1,-74.00795594887987,40.702692529441954
Precinct 1,-74.00836148391231,40.70244453901637
Precinct 1,-74.00911037361753,40.701983871013596
Precinct 1,-74.0091420219537,40.7019728489001
Precinct 1,-74.00929072600611,40.70193007182197
Precinct 1,-74.00869964313567,40.70113986754221
Precinct 1,-74.0077554915064,40.70154800167179
Precinct 1,-74.00759136204213,40.70132808054552
Precinct 1,-74.008536115107745,40.70091969574505
Precinct 1,-74.008349275591,40.7006693483882
Precinct 1,-74.00862036163876,40.70055216421584
Precinct 1,-74.00958483017612,40.701837386065804
Precinct 1,-74.01105603841502,40.701454181412075
Precinct 1,-74.01118088303541,40.701451392253695
Precinct 1,-74.01110775373041,40.70127576447365
Precinct 1,-74.01128983905515,40.701249981741675
Precinct 1,-74.0112097577877,40.701044583273756
Precinct 1,-74.01112868539609,40.70106489745045
Precinct 1,-74.01107837974551,40.700957120315074
Precinct 1,-74.01106708568963,40.70091494089484
Precinct 1,-74.01110886351555,40.700901420606286
Precinct 1,-74.01109386310785,40.700866410873616
Precinct 1,-74.01109337389363,40.70085125607299
Precinct 1,-74.01107872437127,40.70085194903638
Precinct 1,-74.01105584312833,40.70081153127281
Precinct 1,-74.01105943295765,40.70080262099245
Precinct 1,-74.01103748928746,40.7007571312481
Precinct 1,-74.01101538388583,40.70074112479906
Precinct 1,-74.01102945843253,40.700731171496294
Precinct 1,-74.01101999687323,40.700712395448335
Precinct 1,-74.01100668082337,40.70071138770599
Precinct 1,-74.01099272755786,40.70069059304705
Precinct 1,-74.0110085466105,40.70068355723434
Precinct 1,-74.01100361903022,40.70066806679778
Precinct 1,-74.0109913441061,40.70067335177942
Precinct 1,-74.01096997178928,40.700645536089574
Precinct 1,-74.01098841773411,40.70063424450253
Precinct 1,-74.01095827294422,40.7005745921026
Precinct 1,-74.01093617683645,40.70057584194702
Precinct 1,-74.01092482717033,40.70056679303635
Precinct 1,-74.01092557334937,40.70055583199386
Precinct 1,-74.01094712848688,40.700537743035746
Precinct 1,-74.01091918086533,40.70048646359446
Precinct 1,-74.01090496934053,40.7004917842665
Precinct 1,-74.01088462665342,40.70046142740956
Precinct 1,-74.01090366423298,40.70045138201495
Precinct 1,-74.01078537980491,40.70023251447074
Precinct 1,-74.01079959311006,40.70020721300696
Precinct 1,-74.01081530667376,40.700200444603745
Precinct 1,-74.01085157384671,40.700238511084905
