precinct,address,lon,lat
Precinct01,299 bway,-74.00590757029582,40.71517952215338
Precinct01,28 liberty st,-74.00912350042525,40.70776985982453
Precinct01,139 spring st,-74.00083585759378,40.724258675755785
Precinct01,49 ann st,-74.00667049654015,40.71040550983631
Precinct01,119 fulton st,-74.00693370529622,40.710100712187206
Precinct01,5 harrison st,-74.00925838562677,40.71851562917059
Precinct01,47 walker st,-74.00372017756004,40.71892064856121
Precinct01,49 fulton st,-74.00411610726096,40.70826639147418
Precinct01,96 spring st,-73.99949258930901,40.72318623202336
Precinct01,33 rector st,-74.0149526879011,40.70830816039368
Precinct01,42 water st,-74.01017605582933,40.70355946480644
Precinct01,22 cortlat st,-74.0104970916793,40.71046563386403
Precinct01,160 water st,-74.00587581237399,40.7068057281685
Precinct01,100 wooster st,-74.0006011318046,40.72435324692992
Precinct01,2 s e ave,-74.01724335559605,40.70792321794735
Precinct01,23 king st,-74.00368738428458,40.72790852642794
Precinct01,137 w bway,-74.00794948684764,40.71676149078668
Precinct01,100 gold st,-74.00324151338614,40.710104528776206
Precinct01,80 broad st,-74.01184959972485,40.70431142653802
Precinct01,225 rector pl,-74.015944300279,40.70950128616225
Precinct01,149 w 28 st,-73.99255416730574,40.74714043473043
Precinct01,300 n e ave,-74.01434674504,40.7166142902997
Precinct01,144 duane st,-74.00797808693893,40.7161177883467
Precinct01,138 fulton st,-74.00834595634126,40.710264997092956
Precinct01,354 bway,-74.00344781595768,40.7169141954844
Precinct01,100 bway,-74.01111790192395,40.70796719727864
Precinct01,265 water st,-74.00134645333274,40.70839137332162
Precinct01,100 bway,-74.01111790192395,40.70796719727864
Precinct01,40 fulton st,-74.00475056815982,40.70788236513093
Precinct01,60 wall st,-74.00850393134112,40.706242901103295
Precinct01,100 bway,-74.01111790192395,40.70796719727864
Precinct01,149 wooster st,-73.99967111577948,40.726256871053096
Precinct01,21 mercer st,-74.00212227219905,40.72083305792151
Precinct01,150 varick st,-74.00531977883814,40.7260144052791
Precinct01,2 s e ave,-74.01724335559605,40.70792321794735
Precinct01,125 sullivan st,-74.00229153626528,40.72625678905407
Precinct01,345 chambers st,-74.01384143053406,40.71801164422375
Precinct01,472 bway,-74.00007084504875,40.72110570293586
Precinct01,305 bway,-74.00559979620604,40.71553165972312
Precinct01,275 greenwich st,-74.01092184678303,40.71517305461647
Precinct01,33 bleecker st,-73.99375753731297,40.72582521685977
Precinct01,255 greenwich st,-74.01086949986026,40.71437027864467
Precinct01,125 fulton st,-74.00716015873303,40.7102157934756
Precinct01,450 greenwich st,-74.00983292868533,40.72327159077662
Precinct01,200 rector pl,-74.01639785001868,40.708471164592524
Precinct01,51 murray st,-74.00941434726582,40.71430690856762
Precinct01,59 liberty st,-74.00965772586996,40.708990307579455
Precinct01,52 william st,-74.0089154814975,40.70671162276262
Precinct01,179 prince st,-74.00187560727325,40.72649085222136
Precinct01,33 whitehall st,-74.01267997741384,40.70338532052053
Precinct01,79 mercer st,-74.00039436854644,40.722867706044205
Precinct01,15 ann st,-74.00781464770611,40.7110072829263
Precinct01,40 fulton st,-74.00475056815982,40.70788236513093
Precinct01,92 warren st,-74.01066886707426,40.715632803256995
Precinct01,141 sullivan st,-74.00173480533074,40.72686713009229
Precinct01,182 franklin st,-74.00942807994154,40.71957733433174
Precinct01,129 front st,-74.00606584174426,40.70510149770611
Precinct01,275 greenwich st,-74.01092184678303,40.71517305461647
Precinct01,125 barclay st,-74.01295147312952,40.714575051301374
Precinct01,2 s e ave,-74.01724335559605,40.70792321794735
Precinct01,255 greenwich st,-74.01086949986026,40.71437027864467
Precinct01,125 sullivan st,-74.00229153626528,40.72625678905407
Precinct01,140 bway,-74.01011408908299,40.70865064997348
Precinct01,99 battery pl,-74.01659321056007,40.70762446611686
Precinct01,111 wall st,-74.00699584464681,40.70426609741951
Precinct01,374 w bway,-74.00298024466483,40.723610690032956
Precinct01,121 greene st,-73.99928246526068,40.7254541363365
Precinct01,77 pearl st,-74.01049218141326,40.70404356043233
Precinct01,52 bway,-74.01227279327941,40.70648528008326
Precinct01,121 fulton st,-74.00704620940152,40.71015788546001
Precinct01,345 canal st,-74.00342223604886,40.720841992032035
Precinct01,160 bway,-74.00975776135483,40.70930159198711
Precinct01,96 gra st,-74.00170174114521,40.721596497026134
Precinct01,350 hudson st,-74.00684186006558,40.72764954321267
Precinct01,76 beaver st,-74.00884949451144,40.70513317212375
Precinct01,20 vesey st,-74.00952587162753,40.71204924562766
Precinct01,2 s e ave,-74.01724335559605,40.70792321794735
Precinct01,17 murray st,-74.00804423043039,40.71369239431661
Precinct01,123 washington st,-74.01371158074596,40.709161470100064
Precinct01,100 sullivan st,-74.00332665616092,40.72569204487002
Precinct01,99 battery pl,-74.01659321056007,40.70762446611686
Precinct01,100 wooster st,-74.0006011318046,40.72435324692992
Precinct01,10 liberty st,-74.00819129025304,40.707364318425604
Precinct01,117 beekman st,-74.00339892555343,40.70772656486162
Precinct01,133 mercer st,-73.99897917035798,40.72446587949103
Precinct01,486 greenwich st,-74.00944496515959,40.72522386076013
Precinct01,33 whitehall st,-74.01267997741384,40.70338532052053
Precinct01,350 w bway,-74.00369406401487,40.722825494409086
Precinct01,57 reade st,-74.00636693070712,40.71461626224238
Precinct01,61 bway,-74.01283498279504,40.70710479242217
Precinct01,80 greene st,-74.0003442914975,40.72345254822241
Precinct01,105 broad st,-74.01135006945582,40.70317240072307
Precinct01,35 ann st,-74.00718273361534,40.710596208620125
Precinct01,40 charlton st,-74.00484090796121,40.72686476112834
Precinct01,2 gold st,-74.00693105980605,40.70741167815573
Precinct01,85 s st,-74.00443845540735,40.70585990337313
Precinct01,18 vesey st,-74.00937225006042,40.71198901293516
Precinct01,117 beekman st,-74.00339892555343,40.70772656486162
Precinct01,195 bway,-74.0097621825664,40.71085165754452
Precinct01,90 william st,-74.00747292343588,40.708079131818906
Precinct01,100 wall st,-74.00675214923653,40.70524650342711
Precinct01,115 s st,-74.00174397322075,40.70727458315572
Precinct01,10 s st,-74.01177681484897,40.70089625728283
Precinct01,72 wall st,-74.00790176932438,40.70596275599902
