x,y,label
-6.122539357096443,2.8370196301238417,A
-1.9295735486242953,6.307133760257377,B
-6.153914620307725,0.19949046661123182,A
-6.488295922000168,1.7195132271222646,A
-5.1220324195294324,3.4881136764243026,A
-1.6056017907267388,5.248931284937892,B
-5.353483759062113,4.335709888392838,A
-0.2560303725718601,7.095819055907102,B
-6.373543858523405,2.260000009130903,A
-2.248007890568376,6.914519877521058,B
-4.0459191038286,2.564448855055466,A
-2.1486042568545907,4.609893611856353,B
-0.24945224961195833,6.66272960690284,B
-8.254876634542264,4.372422188262213,A
-6.0299277183908595,2.2191564389141614,A
-1.7467133526093779,5.00904269530653,B
-5.9432477651704465,0.363557527094462,A
-4.70968351083686,3.457580878609158,A
-1.2597240084852732,5.4604508674565,B
-7.4352115300233645,4.230155053252387,A
-1.7803024835779748,5.685573827628734,B
-1.0165179643536575,6.799912731566224,B
-5.815841698425514,2.166581787028955,A
-0.796935477345304,5.647639709570984,B
-1.8770310077821633,4.840101894712616,B
0.4271815885969954,5.166371866625509,B
-0.7425197021870787,5.075772895896865,B
-6.620376095558428,3.1913392267157024,A
-5.488954988040698,0.6236764304050231,A
-5.414197010024019,2.6574440017660805,A
-2.396398285483675,6.12623149894935,B
-1.4575910238436693,4.513607492001039,B
-5.3100225787047375,1.8056519163792881,A
-5.2941354881478295,0.7314600967671083,A
-1.1834567693359332,4.679656001057517,B
-6.524119700491528,2.337414297729533,A
-7.19746155110406,1.857457209535849,A
-6.717853441609009,2.297555912427253,A
-5.6660192333109505,2.7274711055784944,A
-1.2707941219204797,5.419619224991276,B
0.7822942939598088,4.341854353101721,B
-5.6328271675194035,1.698345052860436,A
-4.897215913875944,0.9926088119332497,A
-1.0751483245314228,3.95546572648336,B
-0.5316044486626675,5.8405426364695066,B
-1.3941870691905733,5.661801262316093,B
-0.21272200412185005,3.9673678767528253,B
-4.811813734315096,1.6373416966299335,A
-0.5265402983148127,5.540612096998476,B
-0.7218992017939119,6.528688983274307,B
-2.4650709150314807,4.98322275751988,B
-5.96021620488623,1.8492894169577119,A
-5.494056907299773,0.6251481942064405,A
-6.372257317051336,1.7862060766577033,A
-5.3286021974907625,0.996365343752331,A
-2.412965553098717,5.748015099041386,B
-1.5238126814507194,5.7439579329060955,B
-2.6172830929744046,5.440753781633188,B
-5.540835165883859,2.628669769569712,A
-2.3506368113374965,4.651225335750449,B
0.12277504236824721,6.598796791802193,B
-1.8319098416160982,5.947424328870435,B
-7.029279292403895,2.6681609075303925,A
-5.870540462827777,3.518716064642759,A
-2.3995291602403137,4.326998279203546,B
0.16073091963655695,4.4574749014810315,B
-8.317466030065763,1.0946429073388824,A
-1.5990167465191383,5.6765128093386,B
-7.09586530595238,4.450018371574638,A
-5.729344600753424,3.1311472771235795,A
-6.1334690557380815,0.36719782010660795,A
-7.8726237665353915,2.8358860199353026,A
-6.4180430468030005,1.8244687727996207,A
-0.4243972637497959,7.804972455047077,B
-7.642727405887801,1.5455948054947664,A
-6.489814874663033,1.5259765595300965,A
0.1375520289952148,5.684710800763958,B
-1.445617070478387,5.2258614349181105,B
-2.9647618877852597,5.6776107715223,B
0.3241028447251362,7.134903445343021,B
-5.217132647313032,3.430313003389946,A
-7.722953331853215,2.122877618976476,A
-5.37217557299428,2.0623646367492583,A
-2.9802235274016455,5.978832458649409,B
-2.1982482414386197,7.178168253780391,B
-7.107763606515258,1.2031038582018447,A
-0.5197310667357556,6.62414795734462,B
-1.4837805853250368,7.639349843856731,B
-2.583413621808681,5.665785134660513,B
-0.40787900740757366,6.221316387664631,B
-6.048439187090613,2.741159356338684,A
-5.815590660222916,2.406662395518497,A
-5.976189615951796,2.995614331753379,A
-0.1541853606359589,5.218149616001675,B
-1.2165007214565875,7.8112490409046895,B
-0.24230485781277933,6.785845225595791,B
-7.365134734089125,1.8503124476493884,A
-6.005081449489755,2.0120797299201496,A
-6.955046204185351,2.904235157958686,A
-6.044898038653938,2.1193806151883416,A
-5.992224273037555,3.4256881501398015,A
-0.6895677934720859,5.025290368784254,B
-6.648934995997651,2.143159127830557,A
-1.8055381657347822,5.872126231308749,B
-1.0208594490928142,4.572463447707095,B
-0.8834270241872655,6.27976386531863,B
-0.6929209066997132,4.5540784124712035,B
-6.1460533820296,1.7819459187523574,A
-1.6460894219176871,4.57011013606626,B
-6.291339401088974,4.807944049636676,A
-1.2158832679200935,5.831013690713623,B
-6.55749722438933,2.3550684508326385,A
